Date,Alex Haley,Alice Walker,Ann Petry,Barbara Neely,Charles Chesnutt,Charles R. Johnson,Chester Himes,Claude McKay,Colson Whitehead,David Bradley,Edward P. Jones,Edwidge Danticat,Ernest J. Gaines,Gayl Jones,George Schuyler,Gloria Naylor,Gwendolyn Brooks,Henry Dumas,Ishmael Reed,Jacqueline Woodson,James Baldwin,James Weldon Johnson,Jean Toomer,Jesmyn Ward,John A. Williams,John Oliver Killens,Langston Hughes,Margaret Walker,Marlon James,Nalo Hopkinson,Nella Larsen,Octavia E. Butler,Paul Beatty,Paul Laurence Dunbar,Paule Marshall,Pauline Hopkins,Ralph Ellison,Richard Wright,Rudolph Fisher,Sister Souljah,Suzan-Lori Parks,Tayari Jones,Terry McMillan,Toni Cade Bambara,Toni Morrison,W.E.B. Bois,Walter Mosley,Zora Neale Hurston
3/1/2017,53130,47265,1131,235,147,1159,3365,10793,12423,314,1598,4247,3132,959,1347,1741,11351,654,2693,4614,164437,10651,4007,1618,28,563,80122,1901,109,1525,4533,19419,13196,10547,1151,871,15140,21732,700,9376,3789,1426,5400,2640,54579,28,6980,38163
4/1/2017,22260,37458,971,247,176,1395,3234,7718,19328,255,1531,4068,2619,879,1189,1468,8706,610,2367,3522,107707,7912,3009,1436,39,458,58408,1410,125,1416,3571,19109,11075,8565,950,760,12713,17021,545,7175,4088,1491,5515,2071,46202,61,5431,30016
5/1/2017,22162,35743,771,220,166,1012,2464,7391,11936,241,1476,3657,2343,689,1148,1292,9953,586,2095,3692,137939,7139,2539,1488,27,534,56575,1443,127,1379,2672,16212,10013,7108,769,538,11582,16341,674,7000,3890,1530,4648,1776,48219,38,5425,26672
6/1/2017,16027,29021,579,183,129,744,2529,3981,11212,198,1359,2797,1848,524,875,1033,12576,456,1970,2612,103174,5589,1679,1756,27,380,33653,1051,102,1172,1590,17128,8075,5810,527,347,10007,12082,279,11925,2259,1716,5012,1383,39904,31,5645,20982
7/1/2017,18047,27989,594,200,105,768,7476,3402,13307,242,1437,3089,1957,545,785,1127,4917,583,2028,2437,99592,5559,1693,1976,35,367,32722,1473,105,1340,1433,28286,7784,5500,531,365,9597,12667,273,25755,1949,1569,4332,1362,37915,22,5630,17613
8/1/2017,20520,29956,594,220,112,735,4550,3497,15412,218,1357,3023,2293,494,1057,1219,5612,605,2136,2616,118310,4802,1693,4261,26,372,35759,1475,107,1548,1407,23873,7213,7547,525,440,13545,13231,233,18082,2702,1910,4031,1473,45199,23,5288,19317
9/1/2017,27253,32679,781,249,95,820,3797,5987,13063,493,1567,5033,2922,694,1160,1711,6734,538,2077,3173,86579,6978,2292,14723,25,294,51359,1474,78,1325,2007,17025,6741,7795,631,639,10708,15548,398,10637,5825,1301,5082,2784,41417,36,4411,24638
10/1/2017,20921,39836,1225,279,131,803,3361,7560,12414,249,1702,4397,3095,1056,1127,1481,7509,863,2404,4044,83443,8829,3300,20516,24,454,71069,1636,97,1455,2705,18017,8747,8563,730,859,12497,18004,636,10886,3628,1270,5082,2625,46542,56,4674,32203
11/1/2017,19423,37809,910,323,138,891,2788,8067,11029,238,1597,4607,3386,1032,1142,1430,8033,2402,2468,4617,69448,7310,3043,22480,39,458,61208,1552,80,1452,2504,18396,5154,8421,864,1031,11457,15915,491,9646,3698,1287,4157,2240,52601,40,5261,30404
12/1/2017,17216,37831,775,214,239,872,2566,6538,10849,229,1420,3801,2390,862,1056,1372,6998,592,2285,3041,69636,6446,3055,13408,37,342,56671,1322,95,1655,2372,20291,5223,7031,863,786,10468,13783,575,10923,2742,1444,5277,1898,47682,35,4755,33151
