author,views
Barbara Neely,6.5
Barbara Neely,6.0
Barbara Neely,7.3
Barbara Neely,7.1
Barbara Neely,7.2
Barbara Neely,6.1
Barbara Neely,6.1
Barbara Neely,10.6
Barbara Neely,5.9
Barbara Neely,7.2
Barbara Neely,10.8
Barbara Neely,6.8
Barbara Neely,6.7
Barbara Neely,6.6
Barbara Neely,5.8
Barbara Neely,6.5
Barbara Neely,8.3
Barbara Neely,11.9
Barbara Neely,10.0
Barbara Neely,10.1
Barbara Neely,215.9
Barbara Neely,34.7
Barbara Neely,22.7
Barbara Neely,34.1
Barbara Neely,28.5
Barbara Neely,26.0
Barbara Neely,26.6
Barbara Neely,20.5
Barbara Neely,20.5
Barbara Neely,18.3
Barbara Neely,18.8
Barbara Neely,23.7
Barbara Neely,25.7
Barbara Neely,19.9
Barbara Neely,14.5
Barbara Neely,17.1
Barbara Neely,18.0
Barbara Neely,21.9
Barbara Neely,17.6
Barbara Neely,14.8
Barbara Neely,9.6
Barbara Neely,8.9
Barbara Neely,12.2
Barbara Neely,13.8
Barbara Neely,13.0
Charles Chesnutt,5.4
Charles Chesnutt,5.8
Charles Chesnutt,7.7
Charles Chesnutt,6.1
Charles Chesnutt,6.4
Charles Chesnutt,5.3
Charles Chesnutt,5.6
Charles Chesnutt,7.9
Charles Chesnutt,6.3
Charles Chesnutt,5.3
Charles Chesnutt,5.6
Charles Chesnutt,4.9
Charles Chesnutt,4.0
Charles Chesnutt,5.4
Charles Chesnutt,5.8
Charles Chesnutt,5.4
Charles Chesnutt,8.5
Charles Chesnutt,5.8
Charles Chesnutt,6.8
Charles Chesnutt,5.9
Charles Chesnutt,4.7
Charles Chesnutt,5.9
Charles Chesnutt,5.4
Charles Chesnutt,4.3
Charles Chesnutt,3.4
Charles Chesnutt,3.6
Charles Chesnutt,3.2
Charles Chesnutt,4.2
Charles Chesnutt,4.6
Charles Chesnutt,7.7
Charles Chesnutt,6.6
Charles Chesnutt,4.8
Charles Chesnutt,4.5
Charles Chesnutt,4.1
Charles Chesnutt,3.3
Charles Chesnutt,4.2
Charles Chesnutt,3.7
Charles Chesnutt,3.4
Charles Chesnutt,3.4
Charles Chesnutt,4.1
Charles Chesnutt,4.6
Charles Chesnutt,3.5
Charles Chesnutt,4.1
Charles Chesnutt,5.0
Charles Chesnutt,4.3
Charles Chesnutt,4.7
Charles Chesnutt,3.9
Charles Chesnutt,3.1
Charles Chesnutt,3.9
Charles Chesnutt,3.8
Charles Chesnutt,4.9
Charles Chesnutt,5.1
Charles Chesnutt,5.4
Charles Chesnutt,5.1
Charles Chesnutt,5.3
Charles Chesnutt,4.6
Charles Chesnutt,4.3
Charles Chesnutt,4.4
Charles Chesnutt,3.0
Charles Chesnutt,4.9
Charles Chesnutt,3.2
Charles Chesnutt,2.6
Charles Chesnutt,2.7
Charles Chesnutt,2.5
Charles Chesnutt,2.1
Charles Chesnutt,2.4
Charles Chesnutt,2.4
Charles Chesnutt,3.8
Charles Chesnutt,3.2
Charles Chesnutt,2.2
Charles Chesnutt,2.7
Charles Chesnutt,2.5
Charles Chesnutt,1.7
Charles Chesnutt,1.9
Charles Chesnutt,2.3
Charles Chesnutt,2.2
Charles Chesnutt,2.8
Charles Chesnutt,2.2
Charles Chesnutt,2.4
Charles Chesnutt,3.0
Charles Chesnutt,6.0
Charles R. Johnson,35.7
Charles R. Johnson,25.1
Charles R. Johnson,28.0
Charles R. Johnson,28.6
Charles R. Johnson,32.2
Charles R. Johnson,26.2
Charles R. Johnson,29.8
Charles R. Johnson,31.7
Charles R. Johnson,31.3
Charles R. Johnson,35.3
Charles R. Johnson,34.2
Charles R. Johnson,26.3
Charles R. Johnson,24.3
Charles R. Johnson,34.2
Charles R. Johnson,35.2
Charles R. Johnson,35.8
Charles R. Johnson,36.4
Charles R. Johnson,126.0
Charles R. Johnson,45.1
Charles R. Johnson,38.9
Charles R. Johnson,37.4
Charles R. Johnson,46.5
Charles R. Johnson,32.6
Charles R. Johnson,24.8
Charles R. Johnson,24.8
Charles R. Johnson,23.7
Charles R. Johnson,27.3
Charles R. Johnson,25.9
Charles R. Johnson,29.7
Charles R. Johnson,28.1
Charles R. Johnson,35.4
Charles R. Johnson,39.3
Charles R. Johnson,40.8
Charles R. Johnson,37.0
Charles R. Johnson,30.1
Charles R. Johnson,28.3
Charles R. Johnson,30.8
Charles R. Johnson,26.1
Charles R. Johnson,26.3
Charles R. Johnson,34.6
Charles R. Johnson,26.2
Charles R. Johnson,24.3
Charles R. Johnson,26.0
Charles R. Johnson,28.6
